Country,Lon,Lat,Specie counts,Year,method of collection,Form,species,link
DJIBOUTI,41.90542,11.45154,1,2002,light trap,VL,Ph. orientalis,NA
DJIBOUTI,42.20757,11.33353,1,2002,light trap,VL,Ph. orientalis,NA
DJIBOUTI,42.70684,11.91436,1,2002,light trap,VL,Ph. orientalis,NA
ETHIOPIA,41.8501,9.6009,1,1935,light trap,VL,Ph. langeroni,NA
ETHIOPIA,34.18652,8.148301,1,1936,light trap,VL,Ph. martini,NA
ETHIOPIA,39.5,9,1,1936,light trap,VL,Ph. martini,NA
ETHIOPIA,34.18652,8.148301,1,1936,light trap,VL,Ph. orientalis,NA
ETHIOPIA,39.5,9,1,1936,light trap,VL,Ph. orientalis,NA
ETHIOPIA,36.29301,5.328381,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,36.72927,4.823017,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,37.41436,5.523014,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,37.56867,12.67608,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,37.87728,5.514972,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,37.88617,6.999015,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,37.90556,6.530494,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,38.1253,7.851393,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,38.25133,8.219373,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,38.34505,7.39016,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,38.4226,6.851448,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,38.50016,8.471962,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,38.79989,3.82571,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,38.93642,8.765908,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,38.98813,9.180867,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,39.42035,3.851505,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,40.02788,5.317119,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,40.19996,10.41322,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,40.23551,9.987033,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,42.24231,10.25426,1,2002,light trap,VL,Ph. martini,NA
ETHIOPIA,35.30173,11.7135,1,2002,light trap,VL,Ph. orientalis,NA
ETHIOPIA,35.57641,12.14666,1,2002,light trap,VL,Ph. orientalis,NA
ETHIOPIA,35.67821,5.768023,1,2002,light trap,VL,Ph. orientalis,NA
ETHIOPIA,35.92865,4.89768,1,2002,light trap,VL,Ph. orientalis,NA
ETHIOPIA,35.96743,12.1593,1,2002,light trap,VL,Ph. orientalis,NA
ETHIOPIA,36.05145,12.52234,1,2002,light trap,VL,Ph. orientalis,NA
ETHIOPIA,36.35037,5.005533,1,2002,light trap,VL,Ph. orientalis,NA
ETHIOPIA,36.48771,12.96046,1,2002,light trap,VL,Ph. orientalis,NA
